"Organization Name", "Address", "Phone", "Fax", "Email", "Website", "Contact", "Age Groups", "Languages Spoken", "Fees", "Service Hours", "Services Provided"
"San Francisco Trauma Recovery Center/ Rape Treatment Center (TRC/RTC)", "2727 Mariposa Street, Suite 100, San Francisco, CA 94110",  "(415) 437-3000, 24/7 Rape Crisis Line: (415) 437-3000","(415) 437-3050","","www.traumarecoverycenter.org","Jon Dean Green","18 years old and older","English, Mandarin, Portuguese, Spanish","None","Monday - Friday, 8:00am-5:00pm (Tuesday evenings until 7pm); Sexual assault services at San Francisco General Hospital Emergency Department by a nurse practitioner or physician assistance specialist from TRC/RTC: 24/7","TRC/RTC provides services to victims of interpersonal violence, including victims of sexual assault, gunshots, stabbings, motor vehicle crimes, and family members of homicide victims and domestic violence. Programs and services include crisis support for victims of sexual assault, trauma focused therapy, general information, case management, mental health services, referrals to other agencies, forensic examinations, advocacy for victims, emotional support, and support groups for victims of domestic violence, homicide victims' families, and substance abusers. Additionally, the Center provides free sexual assault exams that include evidence collection and follow-up, pregnancy and STD prevention, testing and treatment, individual counseling for rape victims and their significant others, and outreach to community agencies, police officers, and doctors."
"San Francisco Unified School District", "555 Franklin Street, San Francisco, CA 94102",  "(415) 241-6000","(415) 241-6087","See website","www.sfusd.edu","Carlos Garcia, Superintendent","All ages","English, Spanish, Tagalog, Vietnamese, Chinese","None","Monday ­ Friday, 8:00am - 4:00pm","San Francisco Unified School District (SFUSD) educates approximately 55,000 of San Francisco's preschool, elementary, middle and high school students. The administrative office for the School District provides information regarding enrollment, and curriculum. The administrative office also provides information regarding bilingual education, children's centers, special education, school health and nutrition services, and support services for gay and lesbian youth."
"San Francisco Women Against Rape", "3543 18th Street, No. 7, San Francisco, CA 94110",  "24/7 Crisis Line: (415) 647-7273, Main Line: (415) 861-2024","(415) 861-2092","info@sfwar.org","www.sfwar.org","Janelle White, Executive Director","All ages","Spanish, Cantonese, Mandarin, Tagalog, Japanese, Arabic, Farsi, Russian, Portuguese, Spanish, Vietnamese, Swedish, French, Italian, Japanese, Korean, Marathi, Napali, Romanian, Tamil","None","Monday ­ Friday, 9:00am - 5:00pm","San Francisco Women Against Rape (SFWAR) is a women of color- led, volunteer-based organization that has provided rape crisis services to survivors of sexual assault for over 30 years. Some of the services offered by the agency include a 24 hour crisis line, in-person counseling, support groups, rape prevention and education for teens, legal and medical advocacy, self-defense classes, information and referrals, rape prevention and education for adults."
"San Francisco Youthworks", "2012 Pine Street, San Francisco, CA 94115",  "(415) 202-7911","(415) 563-7137","info@sfyouthworks.org, bmerzenich@jcyc.org","www.sfyouthworks.org","Camile Richards","16-18 years old","English, Spanish, Cantonese","None","Monday ­ Friday, 10:00am - 6:00pm","San Francisco Youthworks provides youth with the opportunity to explore a City government career and learn basic job skills in a supportive environment. Participants engage in paid career-oriented internships in one of over 30 departments of the City & County of San Francisco. In addition to their internship, participants are able to access ongoing career development workshops and leadership opportunities through the Youth Leadership Team, as well as fun and educational events."
"Self-Help for the Elderly", "407 Sansome Street, San Francisco, CA 94111",  "(415) 677-7600, Social Services Department Intake: (415) 677-7585","(415) 296-0313","info@selfhelpelderly.org, vivienw@selfhelpelderly.org","www.selfhelpelderly.org","Intake Coordinator, Lenni Ou; Director, Vivien Wong","60 and above & under 60 with disability","Cantonese, Mandarin, Toishanese, Russian","None","Case Management: 8:30am - 5:15pm; Intake and services assistant: 9:00am - 4:00pm","Self-Help for the Elderly is a multi-service organization providing programs along a wellness continuum ranging from employment and social activities for those who are more independent, to in-home assistance and residential board and care to those who are more frail. The agency provides low-income housing, elder care at home, health insurance counseling, senior housing, an activity center, home health aid services, home-delivered meals, an Alzheimer's day care center, in-home supportive services, social services, nutrition services, senior job training, hospice, licensed home care, ESL/citizenship classes, care management, computer training, and elder abuse prevention, counseling and support."
"Seneca Center for Children and Families", "See specific program, various locations throughout the City",  "(415) 642-5968","(415) 695-1263","","www.senecacenter.org","","24 years old and younger","English and Spanish, but may be able to find translator when needed","Call for information","Office Hours: Monday - Friday, 8:30am - 5:00pm","Seneca Center for Children and Families provides community-based and family-based service options for emotionally troubled children and their families. Seneca offers a continuum of care ranging from intensive residential treatment, to in-home wraparound services, to public school-based services. The philosophy behind Seneca's community-based programs is to identify the critical services that a child and family need and provide them as long as they are needed. Seneca has also developed an array of mental health and special education services designed to accelerate each child's academic progress, whether in public school or in an alternative school setting. From preschool to high school, Seneca offers specialized treatment and education services to help students with even the most intensive needs. Seneca also offers residential services that combine therapeutic intervention with 24-hour care in a nurturing, home-like setting."
"Senior Action Network", "965 Mission Street, Suite 705, San Francisco, CA 94103",  "(415) 546-1333","(415) 546-1344","betty@sfsan.org","http://www.sfsan.org/","","50 years old and older","English, Russian, Spanish, Chinese, other language needs must be arranged in advance","None","Monday ­ Friday, 9:00am - 5:00pm","Senior Action Network is a group of senior citizens who come together with the goal of improving the quality of seniors' lives. Their main areas of concern are health care, transportation, pedestrian safety, crime prevention, and housing."
"Senior Center Without Walls", "114 Montecito Avenue, Oakland, CA 94610",  "Toll Free: 1-877-797-7299","","info@seniorcenterwithoutwalls.org","www.seniorcenterwithoutwalls.org","","60 and up","","None","Office Hours: Monday - Friday, 9:00am - 5:00pm","Senior Center Without Wall is a free telephone program connecting California elders through activities, friendship, and community. Senior Center Without Walls offers activities, friendly conversation, and an assortment of classes and support groups to homebound elders and others who find it difficult to go to a community senior center. Participants call from the comfort of their own home through telephone conference calls. No special equipment is needed and the calls are completely free."
"Shalom Bayit Bay Area Jewish Women Working to End Domestic Violence", "P.O. Box 10102, Oakland, CA 94610",  "(510) 451-88745, Toll Free Helpline: 1-866-742-5667 (SHALOM-7)","","info@shalom-bayit.org, director@shalom-bayit.org, teen@shalom-bayit.org","www.shalom-bayit.org","Lisa Kahn-Tietz, Direct Services Coordinator","13 years old and up","English, French, Hebrew","None","Monday ­ Thursday, 9:00am - 4:00pm; Friday, 9:00am - 12:00pm","Shalom Bayit's mission is to foster the social change and community response necessary to end domestic violence in the Jewish community. Support services for battered women include counseling, support groups, spiritual healing, crisis intervention, and safety Planning. Their Teen Program provides healthy relationship education and teen dating violence prevention for youth and young adults ages 10-21. Community education includes speakers and workshops, training for health and mental health professionals, rabbis, and lay leaders, and cultural competency and awareness training for non-Jewish service providers. Technical Assistance and Consultation includes confidential client consultations, individually tailored support to congregations and groups combating abuse, kosher meals, and Jewish holiday assistance to battered women's shelters."
"South East Asian Community Center (SEACC)", "875 O'Farrell Street, San Francisco, CA 94109",  "(415) 885-2743","(415) 885-3253","seaccphilip@yahoo.com","www.seaccusa.org","Phillip Nguyen","All ages","Cantonese, English, French, Vietnamese","Varies according to program","Monday ­ Friday, 8:00am - 5:00pm","SEACC provides needed business, social, and health related services to refugees, immigrants, and low-income people of the Bay Area. The Center also assists with family reunification and immigration matters, including applications for citizenship. In addition, SEACC is a strong advocate for the rights of refugees and immigrants, including quality integration into American society."
"South of Market Child Care, Inc.", "790 Folsom Street, San Francisco, CA 94107",  "(415) 820-3500","(415) 820-3501","info@somacc.org","http://www.somacc.org/","Noushin Mafakham, Executive Director","3 months to 5 years","Cantonese, English, Mandarin, Spanish, Tagalog","Subsidized and private","Monday ­ Friday, 7:00am - 6:00pm","South of Market Child Care, Inc. (SOMCC) serves children, their families, and the community by providing child care and family support in a safe and nurturing environment. SOMCC offer comprehensive programs that are multicultural, educational, and promote social, emotional, cognitive and physical development. SOMCC offers full-day child care, support services for families, parenting classes, support groups, counseling, a Family Resource Center, and an Asian Pacific Islander Family Resource Center. They have two locations: Yerba Buena Gardens Child- Development Center 790 Folsom Street, San Francisco, CA 94107 (415) 820-3500, Fax: (415) 820-3501 Judith Baker Child Development Center 685 Natoma Street, San Francisco, CA 94103 (415) 487-0389, Fax: (415) 487-0387"
"South of Market Community Action Network", "1070 Howard Street, San Francisco, CA 94103",  "(415) 348-1945","(415) 348-0318","info@somcan.org","www.somcan.org","Angelica Cabande, Organizational Director","All ages","English, Tagalog, Spanish","None","Please call to make an appointment.","South of Market Community Action Network (SOMCAN) is committed to serving the needs of youth, seniors, veterans, the Filipino community, low-income residents, and the homeless in the South of Market neighborhood (SoMA). SOMCAN's mission is to build and support a strong and organized community that takes collective action to achieve social justice and equity through organizing, leadership development and community planning. Other services include the Low Income Family Program which provides referrals and direct service to low-income families of SoMA."
"South of Market Mental Health Services", "760 Harrison Street, San Francisco, CA 94107",  "(415) 836-1700","(415) 836-1737","Ernestina.carrillo@sfdph.org","","Ernestina Carrillo, Director","18 and up","English, Spanish, Tagalog, Cantonese","Call for information","Monday ­ Friday, 8:30am - 5:00pm","The Integrated Service Center at SMMHS offers 4 service teams: South of Market Mental Health Outpatient -- the core team that provides an array of clinic-based mental health services; Filipino American Counseling and Treatment Team - provides culturally relevant and bilingual services through a family-centered approach; SF FIRST - an intensive case management team that provides wraparound services to persons with serious mental illness and chronic public inebriates; In-Patient Linkage Team - provides assessment care to mentally disabled individuals who are homeless, at risk and/or have a history of homelessness."
"Southeast Child / Family Therapy Center", "4527 Mission Street, San Francisco, CA 94112",  "(415) 330-5740","(415) 330-9120","maryanne.mock@sfdph.org","","Maryanne Mock, LCSW, Program Director","All ages- Children, Youth and Families","Cantonese, English, Spanish, Mandarin","Please call for information","Monday - Friday, 9:00am - 5:00pm, also by appointment; Open Saturday at 100 Blanken Ave Office from 8:00am - 2:00pm","Southeast Child /Family Therapy Center provides individual, group and family therapy for ethnically and linguistically diverse children, adolescents and their families. The center collaborates and consults with schools and other child and youth-serving agencies. Clinicians also work on-site at elementary, middle and high schools. Three office locations: 100 Blanken Ave., San Francisco, CA 94134 (415) 330-5740, Fax: (415) 330-9120 1525 Silver Ave., San Francisco, CA 94134 (415) 657-1770, Fax: (415) 657-1774 3905 Mission St., San Francisco, CA 94110 (415) 337-2400, Fax: (415) 337-2415"
"Special Programs for Youth", "375 Woodside Avenue, Building W-3, San Francisco, CA 94127",  "(415) 753-7810","(415) 753-7822","","www.sfdph.org/dph/comupg/oservices/medSvs/hlthCtrs/SPYHlthCtr.asp","","18 years old and under","English, Spanish","None","Monday ­ Friday, 8:00am - 5:00pm","Special Programs for Youth provides health care services specifically designed for youth at four locations. At the San Francisco Youth Guidance Center, 24-hour medical and 12- hour mental health care is provided seven days a week. Dental care is offered 20 hours per week. Individual and small group counseling and health education, HIV antibody testing and follow-up services are available. At Log Cabin Ranch Juvenile Correction Center, located in La Honda, medical care is provided five days a week. Mental health services, including individual and small group counseling and health education, are provided three days a week. Confidential HIV antibody testing and follow-up, and a teen fathers program are also available."
"St. Anthony's Foundation", "150 Golden Gate Avenue, San Francisco, CA 94102",  "(415) 241-2600","(415) 440-7770","info@stanthonysf.org","www.stanthonysf.org","Shari Roeseler, Executive Director","All ages","English, Spanish","None","Varies according to service; Dining Room: 10:30am - 1:35pm, every day of the year; Office Hours: 8:30am - 4:30pm","The Foundation aims to feed, heal, shelter, clothe, and lift the spirits of those in need. Programs include a dining room which serves hot meals daily in a caring setting; a free medical clinic which provides adult and pediatric patients, with no or limited health insurance, access to health care; a clothing and housewares program which provides warm clothing, blankets, linens and housewares. The Madonna Residence, which offers supportive residential accommodations for senior women in a comfortable, clean, and safe environment; a social work center, which connects homeless, low- incomes, undocumented, and working poor individuals and families to resources that can stabilize and improve their quality of life; and a technology lab, which offers adult computer and employment skills training, free intensive computer classes, job search counseling, and life skills courses for adults struggling with poverty, addiction, mental health challenges or homelessness."
"Stepping Stone", "255 Tenth Avenue, San Francisco, CA 94118",  "(415) 751-5921","(415) 751-5130","thestep@pacbell.net","www.the-stepping-stone.org","Geil Murphy, Executive Director","Women 18 years old and older","English","include food, a double room, and individual/group counseling.","24 hours; Office Administration: 9:00am - 5:00pm","Stepping Stone is a residence for working women in the early stages of recovery from alcohol abuse. Founded upon the principles of Alcoholics Anonymous (AA) 12 steps, Stepping Stone offers a 6 to 18 month residential program for women recovering from alcohol and other drugs. All groups, classes and individual counseling sessions are held in the evenings and on Saturdays. Women learn to build healthy relationships through peer counseling and support, and attend classes on relapse preventions, anger management, and a variety of topics pertinent to their recovery."
"Sunset Youth Services", "3918 Judah Street, San Francisco, CA 94122",  "(415) 665-0255","","","www.sunsetyouthservices.org","Maria Dajani, Family Support Program","Youth","English, Mandarin, Spanish, Arabic","None","Office Hours: Monday, 12:00pm - 5:00pm; Tuesday - Friday, 12:00pm - 8:00pm; Saturday, 12:00pm - 6:00pm","Sunset Youth Services fosters long-term stability and growth with in- risk youth and families through caring relationships and supportive services. Sunset Youth Services has a vision to be a robust community of thriving youth and adults making the sacred journey through life together."
"Support for Families of Children with Disabilities", "1663 Mission Street, 7th Floor, San Francisco, CA 94103",  "(415) 282-7494, Resource Center: (415) 920-5040","(415) 282-1226","info@supportforfamilies.org","www.supportforfamilies.org","","Families of 0-26 year olds","Cantonese, English, Spanish, Mandarin","None","Administration: Monday ­ Friday, 9:30am - 4:30 pm; Resource Center: Monday, Wednesday, Friday, 9:30am - 4:30pm; Thursday, 12:30pm - 8:30pm","Support for Families of Children with Disabilities offers information, education, and parent-to-parent support free of charge to families of children with any kind of disability or special health care need in San Francisco. Services and programs include various support groups, parent mentor programs, monthly parent/professional educational workshops and clinics, mental heath services, community education, short-term individual and family counseling, a newsletter, phone line, drop-in center, and resource library."
"Swords to Plowshares", "1060 Howard Street, San Francisco, CA 94103",  "(415) 252-4788","(415) 552-6267","info@swords-to-plowshares.org","www.swords-to-plowshares.org","Michael Blecker","Veterans of all Ages","English, Spanish","None","Monday ­ Friday, 9:00am - 5:00pm","Swords to Plowshares is a veteran's rights organization offering a range of services to low-income and/or homeless veterans, including supportive housing, legal services, employment support, and The Iraq Veterans Project. The Frontline Drop-in Center services include social services, case management and community service referrals, emergency housing, eviction prevention services, mental health services, financial services, benefits advocacy, assistance with MediCal health plan services, transportation assistance and vouchers, meal vouchers, and mail and phone services."
"TALK Line Family Support Center - Safestart Support Line", "1757 Waller Street, San Francisco, CA 94117",  "(415) 387-3684, 24/7 Hotline: (415) 441-KIDS (5437)","4153860959","talkline@sfcapc.org","http://www.talklineforparents.org","","Parents and guardians with children under 18 years old","Various languages offer through language line","None","Please call for hours.","Through the San Francisco Child Abuse Prevention Center, the city- wide SafeStart program seeks to reduce the incidence and impact of violence on young children. All services are optional, free, confidential and available in English, Spanish, Cantonese and other Asian languages. Services and programs offered include a TALK Line, a family support center, counseling and therapy services, a children's playroom, respite care, community education, and strategic partnerships."
"Teenage Pregnancy and Parenting Project", "2730 Bryant Street, 2nd Floor, San Francisco, CA 94110",  "(415) 695-8300","(415) 824-2416","Tapp@FSASF.org","FSASF.org","Stephanie Wiggins, Director","12 to 24 years old","English, Spanish","None","Monday ­ Friday, 9:00am - 5:00pm","San Francisco's TAPP is a comprehensive case management program for pregnant and parenting teens. TAPP case managers help ensure that teens have access to all available health, education, and social services for which they are eligible, regardless of whether they are in school. TAPP focuses on the reduction of second births to teenage parents, pregnant and parenting teenagers dropping out of school, low birth-weight babies, and risk behaviors. TAPP also provides child development and parenting education, childcare support services, nutrition and health education, job readiness, mental health programs, relationship violence prevention, and academic counseling. These support services are provided at TAPP as "one-stop" shopping, or are facilitated through longstanding partnerships with other youth- serving agencies."
"Telegraph Hill Neighborhood Center", "660 Lombard Street, San Francisco, CA 94133",  "(415) 421-6443","(415) 433-1352","Ttyson@tel-hi.org","www.tel-hi.org","Tony Tyson, Director of Programs","All ages","Cantonese, English, Italian, Russian, Spanish, Tagalog","Sliding scale depending on service","Monday ­ Friday, 7:30am - 6:00pm","The Center provides opportunities for individuals and families to enrich their quality of life. The agency focuses on low- to moderate-income children, youth, families and seniors. The Center creates and strengthens community bonds by providing health and wellness programs, and broadening education and cultural experiences. Services for children include full-day childcare, before/after school programs, and a summer program from 7:30am to 6:00pm. Services and programs for youth include arts, counseling, nutrition, employment training, and workshops that facilitate discussion on social issues. Services and programs for seniors include hot lunches, social activities, health screenings and workshops, art and computer classes, and organized trips. The Community Organizing and Planning Program facilitates community meetings, sponsors neighborhood projects, and represents the neighborhood on a variety of local and citywide committees."
"Tenderloin Health", "255 Golden Gate Avenue, San Francisco, CA 94102",  "(415) 437-2900, Dental Clinic (183 Golden Gate Ave): (415) 431-7476, TTY: (415) 431-7042","(415) 437-2950","","www.tlhealth.org","Kim Gilgenberg, Social Services Manager","21 and up","English, Spanish","None","Monday - Friday, 9:00am - 5:00pm; Wednesday, 9:00am - 12:00pm","Tenderloin Health works with individual clients, groups and outreach contacts to teach practical HIV prevention strategies. The center offers direct services including case management, and information and referrals. Special services are available for transgender people and substance users. Services include HIV emergency and long-term housing, on-site primary medical and HIV care, mental health assessment and treatment, nutrition supplementation, peer support and advocacy training, syringe exchange social networks, peer HIV education, psychosocial support groups, volunteer and intern programs, HIV counseling, testing and referral prevention, case management, individual risk reduction, counseling education forums, and street outreach services."
"Tenderloin Housing Clinic", "126 Hyde Street, San Francisco, CA 94102",  "Housing Services: (415) 771-2427, Family Housing Program: (415) 345-9290, ext. 102, Referring Cantonese or Mandarin clients: (415) 336-7713","(415) 921-8691","","www.thclinic.org","Randy Shaw, Executive Director","18 years old and older","Varied","None","Monday ­ Friday, 9:30am - 4:00pm","The Tenderloin Housing Clinic is a housing assistance organization that rents hotels and rooms to people receiving general assistance and social security benefits. Clients must be referred by the County Adult Assistance Program, emergency shelters or community agencies. The Clinic also provides direct services to clients housed through the program, including case management, mental health outreach, employment referrals, and legal assistance. The Family Housing Program is located at 398 Eddy Street. Housing Services are located at 472 Turk Street."
"Tenderloin Neighborhood Development Corporation (TNDC)", "201 Eddy Street, San Francisco, CA 94102",  "(415) 776-2151, TTY: (415) 776-4819; TNDC Housing Hotline: (415) 358-3938","(415) 776-3952","info@tndc.org","www.tndc.org","Donald Falk, Executive Director","18 years old and older for housing; 5-17 years old for after-school programs","English, Spanish, Cantonese, Tagalog, Mandarin","None","Office Hours: 8:30am - 5:00pm","TNDC provides safe, affordable housing with support services for low- income people in the Tenderloin community. Their mission is to be a leader in making the neighborhood a better place to live. Services and programs include affordable and low-income housing, emotional and physical counseling, child care, job training, and referrals."
"Tenderloin Outpatient Clinic", "134 Golden Gate Avenue, San Francisco, CA 94102",  "(415) 673-5700","(415) 292-7140","hydestinc@sbcglobal.net","http://hydestreetcs.org/tenderloin_clinic.html","Cindy Gyori, LCSW","18 years old and older","English","Call for information","Office Hours: Monday, Wednesday - Friday, 9:00am - 5:00pm; Tuesday, 9:00am - 2:00pm","The Tenderloin Outpatient Clinic provides an array of services built on a model of comprehensive care. Using a team approach to treatment, a multi-disciplinary staff works together to address the often complex problems of their client population. The Clinic's goal is to enable members to develop skills, self- confidence and a sense of belonging to their community. The Clinic offers assessments, group treatment and medication."
"The Family School", "3101 Mission Street, Suite 101, San Francisco, CA 94110",  "(415) 550-4178","(415) 550-4182","info@thefamilyschool.org","www.thefamilyschool.org","Patricia Becerra, Childcare Director","4 months to 5 years","Varies Language","None","Monday ­ Friday, 7:30am - 5:30pm","The Family School helps San Francisco families with their child care services and needs."
"The Latino Commission of Alcohol & Drug Abuse Services, Inc.", "301 Grand Avenue, Suite 301, South San Francisco, CA 94080",  "(650) 244-1444","","","http://www.thelatinocommission.org/","Debra Camarillo","18 years old and older","English, Spanish","Please call for information","Please call for information","The Latino Commission of Alcohol & Drug Abuse Services, Inc. (TLC) offers substance abuse treatment in a bilingual, bicultural setting. TLC was organized and incorporated in early 1991 by concerned community members, due to the alarming increase in alcohol and drug abuse problems among Latinos. The formation of TLC was an empowerment initiative for direct community involvement in substance abuse, and resulted in the removal of numerous barriers preventing Latinos from accessing substance abuse treatment systems."
"The Riley Center", "The Women's Building",  "(415) 552-2943, 24/7 Hotline: (415) 255-0165","(415) 552-0337","shelter@rileycenter.org, co@rileycenter.org, mari@rileycenter.org","www.rileycenter.org","Mari Alaniz","All ages","Cantonese, English, Mandarin, Spanish, all other languages via interpreter","None","Monday ­ Friday, 9:00am - 5:00pm; Crisis Line and Shelter: 24/7","The Riley Center, a program of the St. Vincent de Paul Society of San Francisco, offers safe and confidential services women in abusive relationships and their children through Rosalie House, Brennan House, The Community Office, and CalWORKs. Rosalie House is an eight-week emergency shelter for battered women and their children. Brennan House is an 18-month transitional program for formerly battered women and their children. The Riley Center Community Office offers drop-in services to battered women, as well as former residents of Rosalie House and Brennan House. Services include individual peer counseling, case management, advocacy, support groups, information and referrals. Referrals are also provided regarding child care, clothing, job training and employment, food, legal assistance, and medical care. Clients must call the Hotline or drop-in at The Community Office prior to receiving any shelter or emergency service."
"The Riley Center", "3543 18th Street, 3rd Floor, San Francisco, CA 94110",  "(415) 552-2943, 24/7 Hotline: (415) 255-0165","(415) 552-0337","shelter@rileycenter.org, co@rileycenter.org, mari@rileycenter.org","www.rileycenter.org","Mari Alaniz","All ages","Cantonese, English, Mandarin, Spanish, all other languages via interpreter","None","Monday ­ Friday, 9:00am - 5:00pm; Crisis Line and Shelter: 24/7","The Riley Center, a program of the St. Vincent de Paul Society of San Francisco, offers safe and confidential services women in abusive relationships and their children through Rosalie House, Brennan House, The Community Office, and CalWORKs. Rosalie House is an eight-week emergency shelter for battered women and their children. Brennan House is an 18-month transitional program for formerly battered women and their children. The Riley Center Community Office offers drop-in services to battered women, as well as former residents of Rosalie House and Brennan House. Services include individual peer counseling, case management, advocacy, support groups, information and referrals. Referrals are also provided regarding child care, clothing, job training and employment, food, legal assistance, and medical care. Clients must call the Hotline or drop-in at The Community Office prior to receiving any shelter or emergency service."
"Toolworks", "25 Kearny Street, Suite 400, San Francisco, CA 94108",  "(415) 733-0990, Videophone: (415) 255-5857","(415) 733-0991","info@toolworks.org","www.toolworks.org","Kristy Seck, Vice President of Client Services","Adults","Sign Language","None","Monday - Friday, 8:00am - 4:30pm","Toolworks, in partnership with people with disabilities, is a human service agency dedicated to providing the tools and resources that promote independence, equality and personal satisfaction. Toolworks provide services that increase economic and social opportunities for people with disabilities by creating programs driven by individual choice and valuing the strengths and abilities of each individual."
"U.S. Department of Veterans Affairs", "801 Vermont Avenue, Washington, DC 20420",  "1-800-827-1000","","","http://www.va.gov/","","","","None","","The United States Department of Veterans Affairs helps veterans get access to a variety of resources that are available to them. These resources include health care, disability compensation, pensions, the GI Bill, vocational rehabilitation and employment, dependents' education assistance, survivor benefits, home loans, life insurance, traumatic injury insurance, cemetery services, burials, headstones and markers, presidential memorial certificates, a nationwide gravesite locator, burial flags, and burial allowances."
"U.C. Berkeley Disabled Students Program (DSP)", "260 Cesar E. Chavez",  "(510) 642-0518, TTY: (510) 642-6376","(510) 643-9686","","www.dsp.berkeley.edu","","Berkeley students and prospective students","English","None","Monday - Friday, 8:00am - 12:00pm, 1:00pm - 5:00pm","The DSP provides a wide range of federal and state legally mandated services and accommodations for eligible students with verified disabilities. Services includeexam proctoring services for faculty, academic advising, academic accommodations, attendant referral, auxiliary services, assistive technology, disability access services, and a DSP student grant."
"U.C. Berkeley Disabled Students Program (DSP)", "Student Center, No. 4250, Berkeley, CA 94720",  "(510) 642-0518, TTY: (510) 642-6376","(510) 643-9686","","www.dsp.berkeley.edu","","Berkeley students and prospective students","English","None","Monday - Friday, 8:00am - 12:00pm, 1:00pm - 5:00pm","The DSP provides a wide range of federal and state legally mandated services and accommodations for eligible students with verified disabilities. Services includeexam proctoring services for faculty, academic advising, academic accommodations, attendant referral, auxiliary services, assistive technology, disability access services, and a DSP student grant."
"UCSF Women Health Resource Center", "2356 Sutter Street, 1st Floor, San Francisco, CA 94115",  "(415) 353-2668","","","http://whrc.ucsf.edu/whrc/","","Women 18 and over","","None","Monday - Thursday, 9:00am - 6:00pm; Friday, 9:00am - 5:00pm","The Center offers OB/GYN, primary care and mammography, and consists of a pharmacy program, a Continence Center, a Fibroid Center, and The Center for Reproductive Health and Fertility. This centralization of services enhances the ability to provide multidisciplinary care to women. The UCSF Women's Health Resource Center strives to increase women's access to information about all aspects of their health, provide excellence in the quality and variety of education available for women and their families, offer women a centralized resource for community and health care provider referrals specific to their needs, and encourage and create participatory, women-sensitive health education programming."
"Vietnamese Youth Development Center", "166 Eddy Street, San Francisco, CA 94102",  "(415) 771-2600","(415) 771-3917","info@vydc.org","http://vydc.org/","Judy Young, Executive Director","12 - 24 years old","Cambodian, Cantonese, English, Lao, Vietnamese","None","Monday ­ Friday, 10:00am - 6:00pm","The Vietnamese Youth Development Center offers a variety of services to Southeast Asian youth, including employment training, case management, mental health analysis, substance abuse prevention, delinquency prevention, educational counseling, tutoring after-school programs, leadership training, recreational activities, arts and media programs, and school-site support services. Specific activities include communication skills and problem solving workshops, team sports (basketball and bowling), youth theater projects , hip-hop and Cambodian dance classes, weekend excursions (biking trips and picnics), cultural gatherings, and community services."
"Visitacion Valley Community Center", "50 Raymond Avenue, San Francisco, CA 94134",  "(415) 467-6355, Family Resource Center: (415) 494-5209, Senior Center: (415) 467-4499","(415) 467-3757","","www.vvccsf.org","Julie Cavanaugh","All ages","Cantonese, English, Mandarin, Spanish, Tagalog, Toisanese","None","Office: Monday ­ Friday, 10:00am - 5:30pm; Child Care: Monday - Friday, 7:30am - 6:00pm; Saturday and Sunday, 9:30am - 12:30pm","Visitacion Valley Community Center offers a variety of programs to the community, including youth programs, adult programs, and senior programs. The Youth Program (415-452-4907) offers employment services, recreation and Beacon Center programs. The Adult Program (415-467-2341) offers ESL and citizenship classes, parenting and parent involvement classes, and ceramics. The Senior Citizens Program (415-467-4499) offers meals (small donation requested), lectures and films, arts and crafts, exercise programs, and entertainment."
"W.O.M.A.N., Inc.", "333 Valencia Street, Suite 450, San Francisco, CA 94103",  "Office: (415) 864-4777, 24/7 Crisis Line: (415) 864-4722, Toll Free: 1-877-384-3578","(415) 864-1082","outreach@womaninc.org, director@womaninc.org","www.womaninc.org","Roberta Toomer, Executive Director","14 years old and older; Day care is provided for client's children","English and Spanish, other languages through language line","None","Drop-In Counseling: Monday - Friday, 10:00am - 4:00pm","W.O.M.A.N., Inc. provides services to battered women and their children who are presently or have been in, violent relationships. Services include a 24-hour crisis line for support and referrals, individual counseling, support group counseling, community education around domestic violence, and specific support services for Latinas, Lesbians, bi-sexual and transgender women. The California Domestic Violence Counselor Certification Training is also available."
"Walden House", "1735 Mission Street, San Francisco, CA 94103",  "(415) 226-1775, TDD: (415) 970-7577","(415) 970-7558","","www.hafc-wh.org","Vitkas Eisen, CEO","18 and over","Translation services available","Call for information","Monday - Friday, 8:45am - 5:30pm","The Walden House engages, heals, teaches, trains, houses, clothes, and feeds people with alcohol and other drug addictions. Services and programs include insurance and self-pay programs, the Walden Institute of Training, outpatient mental health services, residential mental health services, a representative payee programs, adult services, adolescent services, youth mentoring, community support projects, and criminal justice programs."
"West Bay Pilipino Multi-Service Center", "175 7th Street, San Francisco, CA 94103",  "(415) 431-6266","(415) 564-6263","westbaycenter@gmail.com, westbay175@gmail.com","www.westbaycenter.org","Rudy Asercion, Executive Director","All ages","English, Ilocano, Tagalog, Visaya, Kapangpangan","None","Monday ­ Friday, 9:00am - 6:00pm","The West Bay Pilipino Multi-Service Center offers culturally sensitive community and youth services to the Filipino community, including public health, employment assistance, housing, counseling, mental health care, information and referrals, a crisis hotline, breast cancer care and prevention, after school tutoring, homework assistance, recreational activities, film making, personal financial literacy courses, obesity prevention programs, and physical fitness activities. The West Bay Pilipino Multi-Service Center also offers assistance to Filipino WWII Veterans."
