Agency Name,Program Name,Strategy,Lead Agency Address,Lead Agency District,Lead Agency Zip,Site Name,Site Address,Site Zip,Site Phone,Site District,Site Location,Site School,0-5,'6-13,14-17,Parent,18-21,22-25,18-24,English,Spanish,Mandarin,Cantonese,Korean,Vietnamese,Russian,Filipino (Tagalog),Language Other
Lavender Youth Recreation and Information Center (LYRIC),Teen- LGBTQQ Leadership and Allyship Initiative,Teen- LGBTQQ,127 Collingwood Street,District 8,94114,Everett Middle School,450 Church St,94114,(415) 241-6344,8,,Everett Middle School (6-8),,X,X,,,,,X,X,X,X,,,,,
Lavender Youth Recreation and Information Center (LYRIC),Teen- LGBTQQ Leadership and Allyship Initiative,Teen- LGBTQQ,127 Collingwood Street,District 8,94114,Buena Vista/Horace Mann,3351 23rd St,94110,(415) 695-5881,9,,Buena Vista/Horace Mann (K-8),,X,X,,,,,X,X,,,,,,,
Lavender Youth Recreation and Information Center (LYRIC),Teen- LGBTQQ Leadership and Allyship Initiative,Teen- LGBTQQ,127 Collingwood Street,District 8,94114,Balboa High School,1000 Cayuga Ave,94112,(415) 469-4090,11,,"Denman, James Middle School (6-8)",,,X,,,,,X,X,,,,,,X,
Lavender Youth Recreation and Information Center (LYRIC),Teen- LGBTQQ Violence Prevention & Intervention Program,Secondary Prevention,127 Collingwood Street,District 8,94114,LYRIC,127 Collingwood Street,94114,415-703-6150,8,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,X,,,,,,,
Legal Services for Children,Partners for Success,Secondary Prevention,"1254 Market St., 3rd Floor",District 6,94102,Legal Services for Children,"1254 Market St., 3rd Floor",94102,415-863-3762,6,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,X,X,X,,,,,
"Life Frames, Inc.",San Francisco Branch Living Library & Think Parks,Specialized K-8,93 Mirabel,District 9,94110,OMI/Excelsior Living Library & Think Park,300 Seneca,94112,415-469-4756,11,Other,,X,X,,,,,,X,X,X,X,,,,,
"Life Frames, Inc.",San Francisco Branch Living Library & Think Parks,Specialized K-8,93 Mirabel,District 9,94110,OMI/Excelsior Living Library & Think Park,241 Oneida,94112,415-469-4535,11,Public School,"Denman, James Middle School (6-8)",,X,X,,,,,X,X,X,X,,,,X,
"Life Frames, Inc.",San Francisco Branch Living Library & Think Parks,Specialized K-8,93 Mirabel,District 9,94110,Bernal Heights Living Library & Think Park,155 Appleton,94110,415-920-5138,9,Public School,"Serra, Junipero Early Education School (K-5)",X,X,,,,,,X,X,,X,,,,,
"Life Frames, Inc.",San Francisco Branch Living Library & Think Parks,Specialized K-8,93 Mirabel,District 9,94110,Bernal Heights Living Library & Think Park,625 Holly Park Circle,94110,415-695-5685,9,Public School,"Serra, Junipero Elementary School (K-5)",X,X,,,,,,X,X,,X,,,,,
"Life Frames, Inc.",San Francisco Branch Living Library & Think Parks,Specialized K-8,93 Mirabel,District 9,94110,Chinatown Living Library & Think Park,954 Washington Street,94108,415-271-7932,3,Other,,X,X,,,,,,X,,,X,,,,,
"Life Frames, Inc.",San Francisco Branch Living Library & Think Parks,Specialized K-8,93 Mirabel,District 9,94110,Chinatown Living Library & Think Park,950 Clay Street,94108,415-291-7921,3,Public School,"Lau, Gordon J. Elementary School (K-5)",X,X,,,,,,X,X,,X,,,,,
Life Learning Academy,Life Learning Academy,Youth Workforce Development,"651 8th Street, Treasure Island",District 6,94130,Life Learning Academy,"651 8th Street, Treasure Island, SF",94130,415 397 8957,6,Public School,Life Learning Academy Charter School (9-12),,,X,,X,,,X,X,,,,,,,
Life Learning Academy,Life Learning Academy Charter High School,Alternative Education,"651 8th Street, Treasure Island",District 6,94130,Life Learning Academy,"651 8th Street, Treasure Island",94130,415 397 8957,6,Public School,Life Learning Academy Charter School (9-12),,,X,,X,,,X,X,,,,,,,
Literacy for Environmental Justice,Bay Youth for the Environment (BYE),Specialized Teen,909 Florida Street,District 9,94110,Candlestick Point SRA,1150 Carroll Avenue,94124,415-574-5103,10,SF Recreation and Park facility,,,,X,,,,,X,,,,,,,,
Loco Bloco,Performance Arts Training,Specialized K-8_Assigned,3543 18th Street #20,District 9,94110,Bryant Elementary - Mission Graduates,2641 25th St,94110,(415) 864-5205,9,Public School,Bryant Elementary School (K-5),X,X,,,,,,X,X,X,X,,,,,
Loco Bloco,Performance Arts Training,Specialized K-8_Assigned,3543 18th Street #20,District 9,94110,SF Community School,125 London Street,94112,415.469.4739,11,Public School,S.F. Community (K-8),X,X,,,,,,X,X,,,,,,,
Loco Bloco,Performance Arts Training,Specialized K-8_Assigned,3543 18th Street #20,District 9,94110,Leonard Flynn Elementary School,3125 Cesar Chavez St,94110,415) 695-5770,9,Public School,"Flynn, Leonard Elementary School (K-5)",,X,,,,,,X,X,,,,,,,
Marriott Foundation for People w Disabilities,Bridges from school to work,Youth Workforce Development,"785 Market Street, Suite 700",District 6,94103,Bridges from School to Work,"785 Market Street, Suite 700",94103,415-227-4330,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,,,,,X,
Mission Education Projects Incorported,MEPI Summer Program,Comprehensive K-8 Summer Learning,3049 24th Street,District 9,94110,Mission Education Projects Incorporated,3049 24th Street,94110,415-282-9898,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,,,,,,,Arabic
Mission Education Projects Incorported,"Reducing the Risk: The Child in Family, School, and Community",Comprehensive K-8 Community-Based Afterschool,3049 24th Street,District 9,94110,Mission Education Projects Incorporated,3049 24th Street,94110,415-282-9898,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,,,,,,,Arabic
Mission Graduates,Bryant Literacy Program,SFTEAM_NEW,2641 25th Street,District 10,94110,,,,,,,,,,,,,,,,,,,,,,,
Mission Graduates,Summer ExCEL @ Marshall Elementary School,EXCEL Match Summer,1575 15th Street,District 8,94103,Marshall Elementary School,1575 15th Street,94103,415-864-3815,8,Public School,Marshall Elementary School (K-5),,X,,,,,,X,X,,,,,,,
Mission Graduates,SY EXCEL @ Bryant Elementary School,ExCEL Match School Year,2641 25th Street,District 10,94110,Bryant Elementary,2641 25th Street,94110,415-550-6305,10,Public School,Bryant Elementary School (K-5),,X,,,,,,X,X,,,,,,,
Mission Graduates,SY EXCEL @ Marshall Elementary School,ExCEL Match School Year,3040 16th Street,District 8,94102,Marshall,1575 15th Street,94103,415-864-3815,8,Public School,Marshall Elementary School (K-5),,X,,,,,,X,X,,,,,,,
Mission Housing Development Corporation,Rich Soro Commons After School Program,Comprehensive K-8 Community-Based Afterschool,"474 Valencia Street, Suite 280",District 8,94103,Rich Sorro Commons,150 Berry Street,94107,415-864-6432,6,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Avenidas Case Management-Prevention,Secondary Prevention,534 Precita Avenue,District 9,94110,Precita Valley Community Center,534 Precita Avenue,94110,415-206-7756,9,Non-profit's owned or leased space (not faith-based),,,X,X,,X,X,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Home Detention,Detention Alternatives,534 Precita Avenue,District 9,94110,Precita Center,534 Precita Avenue,94110,415-206-7756,9,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Mission Beacon Community Center,Beacons,362 Capp St.,District 9,94114,Mission Beacon Community Center,450 Church St. #19,94114,415.431.2233,8,Public School,Everett Middle School (6-8),X,X,X,X,,,,X,X,,,,,,,"Samoan, Portuguese"
"Mission Neighborhood Centers, Inc.",Mission Girls After School Program,Comprehensive K-8 Community-Based Afterschool,362 Capp Street,District 9,94110,Mission Girls Services,3007 24th street,94110,4156482826,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Mission Girls Summer Program,Comprehensive K-8 Summer Learning,362 Capp Street,District 9,94110,Mission Girls Services,3007 24th street,94110,4156482826,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Mission Neighborhood Centers GED Program,Alternative Education,534 Precita Avenue,District 9,94110,Precita Valley Community Center,534 Precita Avenue,94110,415-206-7756,9,Non-profit's owned or leased space (not faith-based),,,,X,X,X,X,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Precita Center After School Program,Comprehensive K-8 Community-Based Afterschool,534 Precita Avenue,District 9,94110,Precita Valley Community Center,534 Precita Avenue,94110,415-206-7756,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Precita Center Summer Program,Comprehensive K-8 Summer Learning,534 Precita Avenue,District 9,94110,Precita Valley Community Center,534 Precita Avenue,94110,415-206-7756,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Young Queens Diversionion,Diversion,362 Capp Street,District 9,94110,mission girls services,3007 24th Street,94110,4156482826,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
"Mission Neighborhood Centers, Inc.",Young Queens Prevention,Secondary Prevention,362 Capp Street,District 9,94110,mission girls services,3007 24th street,94110,4156482826,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Mission Neighborhood Health Center,Latinos en Extasis Youth Program,Specialized Teen,240 Shotwell street,District 9,94110,Mission Neighborhood Health Center,240 Shotwell street,94110,(415) 552-1013,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Mission SF Community Financial Center,Make Your Path (MY Path),Specialized Teen,3269 Mission St,District 9,94110,Mission SF Community Financial Center,3269 Mission St,94110,415 206 0846,9,Non-profit's owned or leased space (not faith-based),,,X,X,X,,,,X,X,X,,,,,,
Mission SF Community Financial Center,New Economic Rights for All (New ERA) Youth Organizing Project,Youth Led Organizing,3269 Mission Street,District 9,94110,Mission SF,3269 Mission Street,94110,415-206-0846,9,Non-profit's owned or leased space (not faith-based),,,,X,X,,,,X,X,,,,,,,
Mission Youth Soccer League,Mission Youth Soccer League,Specialized K-8,2773 21st Street,District 9,94110,various SF Rec & Park fields,various,94110,na,9,SF Recreation and Park facility,,,X,,,,,,X,X,,,,,,,
New Conservatory Theatre Center,Satellite Drama Education Program at Varying SFUSD Schools,Specialized K-8_Assigned,"25 Van Ness Avenue, LL",District 5,94102,Board of Trustees of the Glide Foundation @ Glide Afterschool Program,434 Ellis Street,94102,(415) 674-6200,6,Faith-based organization's space,,X,X,,,,,,X,X,,X,,,,,
New Conservatory Theatre Center,Satellite Drama Education Program at Varying SFUSD Schools,Specialized K-8_Assigned,"25 Van Ness Avenue, LL",District 5,94102,Buena Vista Horace Mann,3351-23rd Street,94110,(415) 695-5881,9,Public School,Buena Vista/Horace Mann (K-8),X,X,,,,,,X,X,,,,,,,
New Door Ventures,NDV Youth Workforce Development,Youth Workforce Development,3221 - 20th Street,District 9,94110,New Door Ventures,3075 21st Street,94110,415-920-9200,9,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,,,,,,
New Door Ventures,NDV Youth Workforce Development for Justice System Involved Youth,Youth Workforce Development_JJSI,3221 - 20th Street,District 9,94110,New Door Ventures,3075 21st Street,94110,415-920-9200,9,Non-profit's owned or leased space (not faith-based),,,,X,,X,,X,X,X,,,,,,,
Northern California Music & Art Culture Center,Wreach-Out,Specialized K-8,3936 Geary blvd,District 1,94118,Northern California Music & Art Culture Center,3936 Geary Blvd,94118,4157516222,1,Faith-based organization's space,,X,X,X,X,,,,X,X,X,X,X,X,,,
Old Skool Cafe,Old Skool Cafe,Youth Workforce Development_JJSI,1429 Mendell Street,District 10,94124,Old Skool Cafe,1429 Mendell Street,94124,415-822-8531,10,Faith-based organization's space,,,,X,,X,,,X,X,,,,,,,
Omega Boys Club,Omega Leadership Academy,Specialized Teen,1060 Tennessee Street,District 10,94107,Alive & Free Leadership Academy,1060 Tennessee Street,94107,415-826-8664,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
Omega Boys Club,Omega Training Institute,Miscellaneous,1060 Tennessee Street,District 10,94017,Alive & Free-Omega Boys Club,1060 Tennessee Street,94107,415-826-8664,10,Non-profit's owned or leased space (not faith-based),,,,X,X,,,,X,,,,,,,,
Our Kids First,Our Kids First,Comprehensive K-8 Community-Based Afterschool,5845 Mission Street Suite 301,District 11,94112,Our Kids First,5845 Mission Street #301,94112,4155851104,11,Faith-based organization's space,,X,X,,,,,,X,X,X,X,,,,,
People Organized to Win Employment Rights,Youth in Power,Youth Led Organizing,2145 Keith Street,District 10,94124,POWER Office,2145 Keith Street,94124,415-864-8372,10,Non-profit's owned or leased space (not faith-based),Balboa High School (9-12),,X,X,,,,,X,X,,,,,,X,Samoan
Performing Arts Workshop,Artists-in-Communities,Specialized K-8_Assigned,1661 Tennessee Street Suite 3-O,District 10,94107,John Muir Elementary,380 Webster Street,94117,415-241-6335,5,Public School,"Muir, John Elementary School (K-5)",X,X,,,,,,X,X,X,,,,,,"French, Portuguese"
Performing Arts Workshop,"Artists-in-Communities, Hamilton Family Center",Specialized K-8,"1661 Tennessee Street, Suite 3-O",District 10,94107,Hamilton Family Center Residences and Emergency Shelter,260 Golden Gate Avenue,94102,415-292-9930,6,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,X,,,,,,"French, Portuguese"
Performing Arts Workshop,"Artists-in-Communities, Hamilton Family Center",Specialized K-8,"1661 Tennessee Street, Suite 3-O",District 10,94107,Hamilton Family Center Transitional Housing Program,1631 Hayes Street,94117,415-409-2100,5,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,X,,,,,,"French, Portuguese"
Performing Arts Workshop,"Artists-in-Communities, Hamilton Family Center",Specialized K-8,"1661 Tennessee Street, Suite 3-O",District 10,94107,St. Joseph's Family Center,899 Guerrero Street,94110,415-550-4478,8,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,X,,,,,,"French, Portuguese"
Pomeroy Recreation & Rehabilitation Center,Sensing Success,Specialized K-8,207 Skyline Blvd,District 7,94123,Pomeroy Recreation and Rehabilitation Center,207 Skyline Blvd,94132,415-665-4100 ext,10,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,X,,,
Portola Family Connections,Homework Club,Comprehensive K-8 Community-Based Afterschool,2565 San Bruno Avenue,District 9,94134,Homework Club,2565 San Bruno Avenue,94134,415-715-6746,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,X,,,
Portola Family Connections,Summer Academic Enrichment (SAE),Comprehensive K-8 Summer Learning,2565 San Bruno Avenue,District 9,94134,Portola Family Connections,2565 San Bruno Avenue SF CA,94134,415-715-6746,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,X,,,
Potrero Hill Neighborhood House,Case Management - Aftercare/Re-entry,Aftercare/ Reentry,953 DeHaro Street,District 10,94107,Potrero Hill Neighborhood House,953 DeHaro Street,94107,415-826-8080,10,Public School,International Studies Academy (6-12),,X,X,,,,,X,X,,,,,,,
Potrero Hill Neighborhood House,Case Management - Aftercare/Re-entry,Aftercare/ Reentry,953 DeHaro Street,District 10,94107,Nonprofit's Owned Space,953 De Haro Street,94107,415-572-1635,10,Public School,International Studies Academy (6-12),,X,X,,,,,X,X,,,,,,,
Potrero Hill Neighborhood House,Case Management - Aftercare/Re-entry,Aftercare/ Reentry,953 DeHaro Street,District 10,94107,Nonprofit's Owned Space,953 DeHaro Street,94107,415-826-8080,10,Public School,International Studies Academy (6-12),,,X,,X,,,X,X,,,,,,,
Potrero Hill Neighborhood House,Experiment in Diversionity,Specialized Teen,953 De Haro Street,District 10,94107,Potrero Hill Neighborhood House,953 Deharo Street,94107,415/826-8080,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Potrero Hill Neighborhood House,Peer Counseling Detention Based Programs,Detention Based,953 De Haro Street,District 10,94107,Juvenile Justice Center,375 Woodside Avenue,94127,415-753-1500,7,,,,X,X,,X,,,X,X,,,,,,,
Potrero Hill Neighborhood House,Peer Counseling Detention Based Programs,Detention Based,953 De Haro Street,District 10,94107,Potrero Hill Neighborhood House,953 De Haro Street,94124,415-826-8080,10,,,,,,,X,,,X,X,,,,,,,
Potrero Hill Neighborhood House,Summer In the City (SIC),Comprehensive K-8 Summer Learning,953 De Haro Street,District 10,94107,Potrero Hill Neighborhood House,953 Deharo Street,94107,415/826-8080,10,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,,,,,,,
Project Commotion,Youth Outreach Program at Project Commotion,Specialized K-8,2095 Harrison Street,District 9,94110,Project Commotion Studio,2095 Harrison Street,94110,415-252-8059,9,Non-profit's owned or leased space (not faith-based),,X,X,X,X,,,,X,X,,,,,,,Brazilian Portuguese
Providence Foundation of San Francisco,ICC Afterschool Program,Comprehensive K-8 Community-Based Afterschool,4601 Third Street,District 10,94124,Ingleside Community Center,1345 Ocean Avenue,94112,415-587-5513,7,Faith-based organization's space,,X,X,X,X,,,,X,X,X,X,X,X,,X,
Providence Foundation of San Francisco,Providence Summer Learning Program,Comprehensive K-8 Summer Learning,1218 Mendell Street,District 10,94124,Providence Summer Learning & Dy Camp,1218 Mendell Street,94124,415-642-0234,10,Faith-based organization's space,,,X,,,,,,X,X,,X,,,,,
Reading Partners,Summer ExCEL @ Hillcrest Elementary School,EXCEL Match Summer,"474 Valencia Street, Suite 210",District 8,94103,Hillcrest Elementary,810 Silver Aveunue,94134,415-469-4722,9,Public School,Hillcrest Elementary School (K-5),,X,,,,,,X,X,X,X,,X,,,
Reading Partners,SY EXCEL @ Hillcrest Elementary School,ExCEL Match School Year,"474 Valencia Street, Suite 210",District 8,94103,Hillcrest Elementary,810 Silver,94134,415-469-4722,9,Public School,Hillcrest Elementary School (K-5),,X,,,,,,X,X,X,X,,X,,,
Reading Partners,SY EXCEL @ Leonard Flynn Elementary School,ExCEL Match School Year,"474 Valencia Street, Suite 210",District 8,94102,Leonard Flynn Elementary School,3125 Cesar Chavez Street,94110,415-695-5770,9,Public School,"Flynn, Leonard Elementary School (K-5)",,X,,,,,,X,X,,,,,,X,
Reading Partners,SY EXCEL @ Sherman Elementary School,ExCEL Match School Year,"474 Valencia Street, Suite 210",District 8,94103,Sherman Elementary School,1651 Union Street,94123,415-749-3530,2,Public School,Sherman Elementary School (K-5),,X,,,,,,X,X,,X,,,,X,
Real Options for City Kids (ROCK),Beacon,Beacons,450 Raymond Ave,District 10,94134,VVMS,450 Raymond Ave,94134,(415) 260-8774,10,Public School,Visitacion Valley Middle School (6-8),,X,X,X,,,,X,X,X,X,,X,,X,Samoan
Real Options for City Kids (ROCK),Beacon,Beacons,450 Raymond Ave,District 10,94134,ROCK Office,590 Leland Ave,94134,(415) 333-4001,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,X,X,,X,,X,Samoan
Real Options for City Kids (ROCK),SY EXCEL @ El Dorado Elementary School,ExCEL Match School Year,590 Leland Ave,District 10,94134,El Dorado Elementary Schoo,70 Delta St,94134,(415) 330-1537,10,Public School,El Dorado Elementary School (K-5),,X,,,,,,X,X,X,X,,X,,X,Samoan
Renaissance Parents of Success,Youth Job Skills/Mentoring/Training,Specialized Teen,"1800 Oakdale, #510",District 10,94124,Renaissance Parents of Success,"1800 Oakdale, #510",94124,(415) 643-1400,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Richmond District Neighborhood Center,After School Comprehensive K-8 Before and Afterschool Scholarships at Alamo Elementary School,Comprehensive K-8 Before and Afterschool Scholarships,741 30th Avenue,District 1,94121,Alamo Elementary School,250 23rd Avenue,94121,415-750-8456,1,Public School,Alamo Elementary School (K-5),X,X,,,,,,X,,X,X,,,X,,
Richmond District Neighborhood Center,Multicultural Children's Art Program,Specialized K-8,741 30th Avenue,District 1,94121,Richmond District Neighborhood Center,741 30th Avenue,94121,4157516600,1,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,,,X,,,,,
Richmond District Neighborhood Center,Richmond Village Beacon,Beacons,741 30th Avenue,District 1,94121,Richmond Village Beacon,600 32nd Avenue,94121,415-750-8554,1,Public School,"Washington, George High School (9-12)",,X,X,X,,,,X,X,X,X,,,,,
Richmond District Neighborhood Center,Richmond Village Beacon,Beacons,741 30th Avenue,District 1,94121,Richmond Village Beacon,600 32nd Avenue,94121,415-750-8554,1,Public School,"Washington, George High School (9-12)",,X,X,X,,,,X,X,X,X,,,,,
Richmond District Neighborhood Center,Richmond Village Beacon,Beacons,741 30th Avenue,District 1,94121,Presidio Middle School After School Program,450 30th Avenue,94121,415-831-6084,1,Public School,Presidio Middle School (6-8),,,X,X,,,,X,X,X,X,,,,,
Richmond District Neighborhood Center,Richmond Village Beacon,Beacons,741 30th Avenue,District 1,94121,Roosevelt Middle School After School Program,460 Arguello Blvd,94118,415-221-4565,2,Public School,"Roosevelt, Theodore Middle School (6-8)",,,X,X,,,,X,X,X,X,,,,,
Richmond District Neighborhood Center,Summer ExCEL @ Roosevelt Middle School,EXCEL Match Summer,741 30th Avenue,Unassigned,94121,Middle School Summer Camp,600 32nd Avenue,94121,415-751-6600,1,Other,,,X,,,,,,X,X,X,X,,,,,
Richmond District Neighborhood Center,SY EXCEL & Scholarship @ Argonne Elementary School,ExCEL Match School Year,741 30th Avenue,District 1,94121,Argonne Elementary School,680 18th Avenue,94121,415-750-8460,1,Public School,Argonne Elementary School (K-5),,X,,,,,,X,,X,X,,,X,,
Richmond District Neighborhood Center,SY EXCEL @ George Peabody Elementary School,ExCEL Match School Year,741 30th Avenue,District 1,94121,George Peabody Elementary,251 6th Avenue,94118,415-750-8460,1,Public School,"Peabody, George Elementary School (K-5)",X,X,,,,,,X,,X,X,,,X,,
Richmond District Neighborhood Center,SY EXCEL @ Lafayette Elementary,ExCEL Match School Year,741 30th Avenue,District 1,94121,Lafayette Elemetary School,4545 Anza Street,94121,415-750-8483,1,Public School,Lafayette Elementary School (K-5),,X,,,,,,X,,X,X,,,X,,
Richmond District Neighborhood Center,SY EXCEL @ Presidio Middle School,ExCEL Match School Year,741 30th Avenue,District 1,94122,Presidio Middle School,450 30th Avenue,94121,415-831-6084,1,Public School,Presidio Middle School (6-8),,X,,,,,,X,X,X,X,,,,,
Richmond District Neighborhood Center,SY EXCEL @ Roosevelt Middle School,ExCEL Match School Year,460 Arguello Blvd,District 1,94121,Roosevelt Middle School After School Program,460 Arguello Blvd,94118,415-221-4565,2,Public School,"Roosevelt, Theodore Middle School (6-8)",,X,,,,,,X,X,X,X,,,,,
Richmond District Neighborhood Center,Youth Employment and Multicultural Leadership Program,Youth Workforce Development,741 30th Avenue,District 1,94121,RDNC Youth Employment Program,600 32nd Avenue,94121,415-750-8554,1,Public School,"Washington, George High School (9-12)",,,X,,,,,X,X,,X,,,,,
SAGE,LifeSkills for Girls,Detention Alternatives,68 12th Street,District 6,94103-1297,"SAGE Project, Inc.",68 12th Street,94103,415-551-0493,6,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,X,,,,,X,,"Italian, Portuguese, Farsi"
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,Aptos Middle School,105 Aptos,94107,415-469-4520,7,Public School,Aptos Middle School (6-8),,X,,,,,,X,X,X,X,X,X,X,X,"Arabic, Taishanese, Mongolian"
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,Downtown High School,693 Vermont St,94107,695-5860,10,Public School,Downtown High School (9-12),,,X,,,,,X,X,X,X,X,,,X,Samoan
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,Hilltop School,1325 Florida St,94110,695-5606,9,Public School,Hilltop Special Services Center (9-12),,,X,X,,,,X,X,,,,,,X,
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,Woodside Learning Center,375 Woodside,94127,753-7792,8,Public School,Woodside Learning Center (8-12),,X,X,,,,,X,X,X,X,,X,,X,
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,SFPL Main Library,100 Larkin St,94102,557-4388,6,SF Public Library facility,,,X,X,,,,,X,X,X,X,X,X,X,X,
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,Mission High School,3750 18th St,94114,241-6240,8,Public School,Mission High School (9-12),,X,X,,,,,X,X,X,X,X,X,,X,"Arabic, Taishanese, Mongolian"
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,Oasis For Girls,1008 Mission St,94103,701-7991,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,X,,X,,X,
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,International Studies Academy,655 De Haro St,94107,695-5866,10,Public School,International Studies Academy (6-12),,X,X,,,,,X,X,X,X,,X,,X,"Arabic, Burmese"
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,3rd Street Youth Center & Clinic,1728 Bancroft Ave,94124,822-1707,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,Bayview Hunters Point YMCA,1601 Lane St,94124,822-7728,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
San Francisco Arts Commission,WritersCorps,Specialized Teen,25 Van Ness Ave Suite 345,District 6,94102,College Track SF,4301 3rd St,94124,206-9995,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,Arabic
San Francisco Arts Education Project,Summer ExCEL @ Glen Park Elementary,EXCEL Match Summer,"135 Van Ness Avenue, % Nourse Auditoirum",District 8,94102,Glen Park Elementary School,151 Lippard Avenue,94131,415-469-4713,8,Public School,Glen Park Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
San Francisco Arts Education Project,SY EXCEL @ Glen Park Elementary,ExCEL Match School Year,135 Van Ness Avenue,District 8,94102,Glen Park Elementary School,151 Lippard Street,94131,415-467-4713,8,Public School,Glen Park Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
San Francisco Brown Bombers,Brown Bombers,Specialized K-8,509 Mendell Street,District 10,94124,Youngblood Coleman Park,509 Mendell Street,94124,415-820-1516,10,SF Recreation and Park facility,,X,X,X,,,,,X,,,,,,,,
San Francisco Brown Bombers,Brown Bombers,Specialized K-8,509 Mendell Street,District 10,94124,Joseph Lee Gymnasium,1395 Mendell Street,94124,415-822-9040,10,SF Recreation and Park facility,,X,X,X,,,,,X,,,,,,,,
San Francisco Child Abuse Prevention Center,Talk Line,Systems Development,1757 Waller Street,District 5,94117,TALK Line,1757 Waller Street,94117,415-441-5437,5,Non-profit's owned or leased space (not faith-based),,,,,X,,,,X,X,,,,,,,Over 150 languages through translation services.
San Francisco Coalitiion of Essential Small Schools,SF TEAM at Paul Revere,SFTEAM_CONT,3750 18th Street,Unassigned,94114,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Coalition of Essential Small Schools,SY EXCEL @ Paul Revere K-8 College Preparatory School,ExCEL Match School Year,3750 18th Street 5th Floor at Mission High School,Unassigned,94114,Paul Revere College Preparatory,"555 Tompkins Street, San Francisco, CA",94110,415-695-5656,10,Public School,"Revere, Paul (K-8)",X,X,,,,,,X,X,X,X,,,,,
San Francisco Conservation Corps,San Francisco Conservation Corps Program Site,Youth Workforce Development,241 5th Street,District 6,94103,SFCC Program Site,"Fort Mason, Building 102",94123,(415) 928-7417,2,Other,,,,,X,X,,,X,,,,,,,,
